"Cif (S)","Ventas (N)","Año ventas (S)","Capital social (N)","Cargo principal (S)","Cnae (S)","Domicilio social (S)","Email (S)","Empleados (N)","Fax (S)","Fecha fundacion (S)","Fecha ult. balance (S)","Forma juridica (S)","Localidad (S)","Nombre (S)","Nombre comercial (S)","Situacion (S)","Telefono (S)","Web (S)","tipo (S)"
"A01283290","4241545.37","2018","60105","IBARROLA BERGANZA, JOSE RAMON","4121 - Construcción de edificios residenciales","POLIGONO INDUSTRIAL AYALA, 7 -11","izoria@izoria.es","19","Desconocido","1999-05-01","2018-12-31","SOCIEDAD ANONIMA","01479 AYALA/AIARA (Araba/Álava)","CONSTRUCCIONES IZORIA-2000 SA","Desconocido","Activa","[945399196]","['www.izoria.es']","pequeña"
"A01302462","4688851.6","2018","146301000","OREGI BASTARRIKA, ANA ISABEL","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","PLAZA DE ESPAÑA, S/N - CASA CONSISTORIAL","e21z@vitoria-gasteix.org","18","[945161999]","2000-04-26","2018-12-31","SOCIEDAD ANONIMA","01001 VITORIA-GASTEIZ (Araba/Álava)","SOCIEDAD URBANISTICA MUNICIPAL DE VITORIA GASTEIZKO UDAL HIRIGINTZA ELKARTEA ENSANCHE 21 ZABALGUNEA SA","Desconocido","Activa","[945162600]","['www.e21z.es']","pequeña"
"A01361237","9067101","2018","52132000","HURTADO DOMINGUEZ, JAVIER","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","PLAZA DE LA PROVINCIA, S/N","info@arabat.org","6","[901706905]","2003-12-15","2018-12-31","SOCIEDAD ANONIMA","01001 VITORIA-GASTEIZ (Araba/Álava)","ARABAKO BIDEAK-VIAS DE ALAVA, S.A.","['ARABAT ARABAKO BIDEAK VIAS DE ALAVA S.A.']","Activa","[945134690, 945181818]","['www.arabat.org']","pequeña"
"A02363802","41109705.06","2015","200000","Desconocido","4321 - Instalaciones eléctricas","PASEO DE LA INNOVACION, 3","juan.garcia@ingeteam.com","531","[967193441]","2003-12-22","2015-12-31","SOCIEDAD ANONIMA","02006 ALBACETE (Albacete)","INGETEAM SERVICE SA (EXTINGUIDA)","Desconocido","Extinción","[975302075, 967245504, 967193438]","['www.ingeteam.com']","grande"
"A03443801","26999308.38","2018","72120","FERNANDEZ BUSTILLO, EDUARDO JOSE","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CALLE MANUEL MACIA JUAN, 4","administracion@los-serranos.com","90","[965423860]","1989-04-10","2018-12-31","SOCIEDAD ANONIMA","03203 ELCHE/ELX (Alicante)","AGLOMERADOS LOS SERRANOS SA","Desconocido","Activa","[966615242]","['www.infraestructuras.eiffage.es']","mediana"
"A07017874","20279347.54","2018","60110","BELTRAN AMENGUAL, FRANCISCA MARIA","4211 - Construcción de carreteras y autopistas","AVENIDA DEL PLA, 65 - 67","opman@pavimentosman.es","70","[971504400]","1966-07-22","2018-12-31","SOCIEDAD ANONIMA","07300 INCA (Baleares)","OBRAS Y PAVIMENTACIONES MAN SA","Desconocido","Activa","[971500908]","['www.obrasman.es']","mediana"
"A07116122","3538584.63","2018","60110","PONS VILLALONGA, MARCELINO","4121 - Construcción de edificios residenciales","CALLE DES CAP NEGRE, 3","info@antonioydiego.com","20","[971366509]","1982-12-20","2018-12-31","SOCIEDAD ANONIMA","07714 MAO-MAHON (Baleares)","ANTONIO Y DIEGO SA","Desconocido","Activa","[971360505]","['www.antonioydiego.com']","mediana"
"A07175458","9779643.55","2018","60120","COLL OLIVES, CONRADO","4121 - Construcción de edificios residenciales","AVENIDA DE LA BATERIA, 21","conradoass@infotelecom.es","90","[971151638]","1985-12-14","2018-12-31","SOCIEDAD ANONIMA","07710 SANT LLUIS (Baleares)","CONRADO Y ASOCIADOS SA","Desconocido","Activa","[971150268]","['www.conradoyasociados.es']","mediana"
"A07296536","18473933.93","2017","66111.33","AMER BESTARD, ANTONIO","4121 - Construcción de edificios residenciales","CALLE DEL MOSTASSAF, S/N - BJ","info@amerehijos.com","100","[971881370]","1988-07-05","2017-12-31","SOCIEDAD ANONIMA","07300 INCA (Baleares)","AMER E HIJOS SA","Desconocido","Activa","[971500680]","['www.amerehijos.com']","mediana"
"A08006199","72007000","2018","240000","GONZALEZ GARCIA, ALEJANDRO ANTONIO","5229 - Otras actividades anexas al transporte","CALLE TRESPADERNE, 29 - 3ª PLANTA","sgs.espanola@sgs.com","679","[913138080]","1940-10-18","2018-12-31","SOCIEDAD ANONIMA","28042 MADRID (Madrid)","SGS ESPAÑOLA DE CONTROL SA","['SGS ESPAÑOLA DE CONTROL S.A.']","Activa","[913138000, 913138244]","['www.sgs.es']","grande"
